specimen_id,record_type,id,display_order,catalog_number,metbull_code,meteorite_id,name,classification,mass_grams,dimensions,locality,found_year,acquired_year,provenance,specimen_description,image_alt,price_usd,status
Specimen 001,collection_specimen,unclassified-meteorite-367-3g,10,Specimen 001,,,Unclassified Meteorite,Unclassified,367.3,,,,,,"A substantial 367.3 g unclassified specimen with a rounded dark exterior and exposed weathered interior areas. Classification and find locality have not been recorded.",Three-quarter view of a rounded dark 367.3 g unclassified meteorite with a broad weathered interior exposure,,
Specimen 002,collection_specimen,wabar-impact-material-63-2g,20,Specimen 002,,,Wabar Impact Glass with Fused Sand,Impact material / related artifact,63.2,,"Wabar, Saudi Arabia",,,,"A 63.2 g Wabar related artifact showing black impact glass fused to pale desert sand. This is cataloged as terrestrial impact material, not as a meteorite.",Broad view of 63.2 g Wabar impact material with black glass fused over pale desert sand,,
Specimen 003,collection_specimen,wabar-fused-sand-30-4g,30,Specimen 003,,,Wabar Impact-Fused Sand,Impact-fused sand,30.4,,"Wabar, Saudi Arabia",,,,"A 30.4 g fragment of pale Wabar sand fused by impact heat, with layered texture and small dark glassy areas. Cataloged as impact material rather than a meteorite.",Front face of a pale 30.4 g Wabar impact-fused sand fragment,,
Specimen 004,collection_specimen,wabar-relic-iron-7-9g,40,Specimen 004,,,Wabar Impact Glass with Relic Iron,Impact glass / relic meteoritic iron,7.9,,"Wabar, Saudi Arabia",,,,"A 7.9 g Wabar impact fragment combining dark glass, fused sand, and a remnant interpreted as relic meteoritic iron.",Wabar impact glass fragment with fused sand and relic iron,,
Specimen 005,collection_specimen,wabar-pearl-0-7g,50,Specimen 005,,,Wabar Pearl,Impact glass,0.7,,"Wabar, Saudi Arabia",,,,A small 0.7 g polished Wabar pearl with a glossy black surface and rounded oval form.,Front view of a polished black 0.7 g Wabar pearl,,
Specimen 006,collection_specimen,kaalijarv-36-4g,60,Specimen 006,12217,,,,36.4,,,,,,"A thin, angular 36.4 g iron fragment with a weathered metallic surface.",Upright view of a thin angular 36.4 g Kaalijarv iron fragment with layered metallic texture,,
Specimen 007,collection_specimen,unclassified-oc-57-6g,70,Specimen 007,,,Unclassified Ordinary Chondrite,Unclassified ordinary chondrite,57.6,,,,,,"A 57.6 g cut wedge displaying a speckled interior. Cataloged as an unclassified ordinary chondrite; no official pairing or find locality is asserted.",Cut speckled face of a 57.6 g unclassified ordinary chondrite wedge,,
Specimen 008,collection_specimen,unclassified-nwa-oriented-47-4g,80,Specimen 008,,,Unclassified NWA Oriented Ordinary Chondrite,Unclassified ordinary chondrite,47.4,,Northwest Africa,,,,"A 47.4 g unclassified Northwest Africa ordinary chondrite with a rounded, shield-like oriented form and visible surface cracking. No official pairing is asserted.",Shield-like face of a 47.4 g oriented Northwest Africa ordinary chondrite with branching surface cracks,,
Specimen 009,collection_specimen,bjurbole-14g,90,Specimen 009,5064,,,,14,,,,,,"A historic 14 g collection fragment with a gray brecciated surface and the visible specimen marking OCH 238.",Marked face of the historic 14 g Bjurböle L/LL4 fragment,,
Specimen 010,collection_specimen,unclassified-nwa-oc-13-8kg,100,Specimen 010,,,Large Unclassified NWA Ordinary Chondrite,Unclassified ordinary chondrite,13800,,Northwest Africa,,,,"A large unclassified Northwest Africa ordinary chondrite with a broad weathered exterior, pronounced sculpting, and visible cracking. No official pairing is asserted.",Large 13.8 kg unclassified Northwest Africa ordinary chondrite,,
Specimen 011,collection_specimen,ksar-ghilane-022-31-35g,110,Specimen 011,82150,,,,31.35,,,,,,"This 31.35 g polished end cut displays a pale gray granular face crossed by a darker network and is held in the permanent collection.",Polished face of the 31.35 g Ksar Ghilane 022 ungrouped achondrite with pale gray angular grains crossed by a dark network beside a scale cube,,
Specimen 012,sale_specimen,wabar-impact-glass-7-2g,10,Specimen 001,,,Wabar Impact Glass with Fused Sand,Impact glass / fused sand,7.2,,"Wabar, Saudi Arabia",,,,"A 7.2 g Wabar impact fragment showing black glass fused directly to pale desert sand, with a jagged boundary between the glassy melt and granular substrate. This is related impact material, not a meteorite.",Exact 7.2 g Wabar impact glass and fused sand specimen offered for sale,,available
Specimen 013,sale_specimen,aguas-zarcas-4-97g,20,Specimen 002,69696,,,,4.97,,,,,,The exact 4.97 g fragment offered here has dark fusion crust and an exposed interior face.,Broad face of the exact 4.97 g Aguas Zarcas CM2 specimen offered for sale,,available
